family	paralog_name	paralog_type	classification	mean_TPM	median_TPM	max_TPM	tissues_detected	samples_detected	pct_samples	pearson_r_vs_parent	pearson_pvalue	tissue_specificity
Fcf1	Fcf1-dl6	dl	supported	3.4796	1.7332	20.3750	6	15	51.7241	0.5370	0.2719	0.1349
Fcf1	Fcf1-dl7	dl	supported	15.9086	16.0205	40.8737	6	26	89.6552	0.1153	0.8278	0.0314
Fcf1	Fcf1-dl8	dl	supported	8.9173	8.8020	22.0446	6	23	79.3103	-0.2232	0.6708	0.0572
Fcf1	Fcf1-l1	l	supported	10.8902	10.2030	40.0319	6	26	89.6552	-0.2237	0.6701	0.0471
Fcf1	Fcf1-l2	l	low expression	0.1800	0.0000	2.6509	2	2	6.8966	-0.2051	0.6967	0.6176
Fhit	Fhit-l1	l	parent correlated	72.0581	47.5516	189.4738	6	29	100.0000	0.9559	0.0029	0.1032
Fkbp1a	Fkbp1a-l1	l	parent correlated	0.7567	0.7466	1.9557	6	28	96.5517	0.9781	0.0007	0.0785
Fkbp3	Fkbp3-dl1	dl	low expression	1.3862	0.0000	10.1359	5	13	44.8276	0.1104	0.8351	0.2645
Fkbp3	Fkbp3-dl2	dl	supported	12.0922	8.7828	34.0482	6	29	100.0000	0.6197	0.1895	0.0780
Fkbp3	Fkbp3-dl3	dl	supported	6.2362	5.3350	27.5417	6	24	82.7586	0.5408	0.2679	0.0217
Fkbp3	Fkbp3-dl4	dl	supported	31.0561	23.6796	71.1792	6	26	89.6552	0.5030	0.3092	0.1006
Fkbp3	Fkbp3-dl5	dl	supported	32.4834	34.8098	82.1578	6	26	89.6552	-0.5222	0.2879	0.0716
Fkbp3	Fkbp3-dl6	dl	parent correlated	68.6652	52.4691	168.1206	6	29	100.0000	0.8819	0.0201	0.1013
Fkbp4	Fkbp4-dl1	dl	parent correlated	3265.0039	2676.8277	7808.5909	6	29	100.0000	0.9797	0.0006	0.0699
Fmo5	Fmo5-l1	l	low expression	0.0162	0.0000	0.3061	2	3	10.3448	0.2951	0.5702	0.6594
Fndc11	Fndc11-l1	l	parent correlated	12.4273	7.9905	64.4790	6	25	86.2069	0.9859	0.0003	0.2125
Fnta	Fnta-dl1	dl	supported	350.4929	335.4273	521.1194	6	29	100.0000	0.1599	0.7622	0.0085
Fpr2	Fpr2-l1	l	low expression	4.0441	0.0000	26.4811	4	8	27.5862	0.3807	0.4565	0.7834
Fpr2	Fpr2-l2	l	low expression	22.8282	0.0000	198.6000	3	8	27.5862	0.6044	0.2037	0.9865
Fpr2	Fpr2-l3	l	low expression	5.4619	0.0000	54.4745	3	8	27.5862	0.5490	0.2592	0.8907
Fpr2	Fpr2-l4	l	low expression	0.3052	0.0000	3.8658	3	8	27.5862	0.0468	0.9299	0.7971
Fsbp	Fsbp-dl1	dl	supported	19.5378	20.3160	35.4340	6	29	100.0000	-0.5957	0.2121	0.0200
Fsip2	Fsip2-l1	l	supported	86.5471	63.5775	229.1588	6	29	100.0000	-0.0462	0.9308	0.0819
Fth1	Fth1-dl1	dl	parent correlated	331.5494	294.0235	667.5383	6	29	100.0000	0.9309	0.0070	0.0228
Fth1	Fth1-dl2	dl	parent correlated	3157.9152	2733.9296	7000.4351	6	29	100.0000	0.9617	0.0022	0.0257
Fth1	Fth1-dl3	dl	parent correlated	82.5386	65.6608	279.9665	6	29	100.0000	0.9331	0.0066	0.0706
Fth1	Fth1-dl4	dl	supported	7.2086	3.9155	22.7067	6	23	79.3103	0.1292	0.8073	0.0664
Fth1	Fth1-dl5	dl	parent correlated	84.1890	67.3713	263.4175	6	29	100.0000	0.8504	0.0319	0.0529
Fth1	Fth1-dl6	dl	parent correlated	338.9218	301.1732	908.0829	6	29	100.0000	0.9667	0.0016	0.0335
Fth1	Fth1-dl7	dl	low expression	5.4723	0.0000	79.7127	4	12	41.3793	0.2549	0.6260	0.4421
Fth1	Fth1-dl8	dl	low expression	0.1063	0.0000	3.0831	1	1	3.4483	-0.0703	0.8947	1.0000
Fundc2	Fundc2-dl1	dl	parent correlated	1111.0107	1043.7625	2404.6757	6	29	100.0000	0.9908	0.0001	0.0974
Fxyd5	Fxyd5-l1	l	parent correlated	124.7172	73.6764	414.1669	6	29	100.0000	0.9878	0.0002	0.2376
Fzd10	Fzd10-l1	l	parent correlated	43.6637	2.2218	602.8656	5	19	65.5172	0.9651	0.0018	0.6973
Gabarap	Gabarap-dl1	dl	supported	1997.1583	1931.2107	2788.8928	6	29	100.0000	0.7471	0.0879	0.0057
Gabarapl1	Gabarapl1-dl1	dl	parent correlated	749.6364	498.9371	2469.6295	6	29	100.0000	0.9801	0.0006	0.1948
Gabarapl2	Gabarapl2-dl1	dl	parent correlated	2902.6891	2643.2248	5073.1193	6	29	100.0000	0.9584	0.0026	0.0271
Gabarapl2	Gabarapl2-dl2	dl	supported	25.1417	6.9030	108.9325	6	24	82.7586	0.0950	0.8580	0.2455
Gapdh	Gapdh-l1	l	supported	42.7641	23.2479	136.1785	6	28	96.5517	0.6587	0.1549	0.1606
Gapdh	Gapdh-l2	l	low expression	0.3082	0.0000	3.3136	3	5	17.2414	0.5253	0.2845	0.5246
Gbp5	Gbp5-dl1	dl	parent correlated	107.9757	50.7289	516.4033	6	29	100.0000	0.8444	0.0344	0.2996
Gbp5	Gbp5-dl2	dl	parent correlated	9.5396	5.5850	49.2827	6	26	89.6552	0.8397	0.0365	0.2722
Gbp5	Gbp5-dl3	dl	parent correlated	13.2859	5.3698	43.5208	6	27	93.1034	0.9175	0.0099	0.2661
Gbp5	Gbp5-l1	l	parent correlated	25.4107	17.3710	125.2705	6	29	100.0000	0.9154	0.0104	0.1824
Gbp6	Gbp6-l1	l	parent correlated	122.6469	47.4217	584.8709	6	29	100.0000	0.9341	0.0064	0.2966
Gbp6	Gbp6-l2	l	parent correlated	15.7938	8.6078	84.2722	6	29	100.0000	0.9722	0.0012	0.1797
Gbp6	Gbp6-l3	l	low expression	0.3601	0.0997	1.8046	6	18	62.0690	-0.4604	0.3582	0.3516
Gdi2	Gdi2-dl1	dl	supported	1146.2428	1140.8849	2082.7803	6	29	100.0000	0.2917	0.5748	0.0271
Gdi2	Gdi2-dl2	dl	supported	433.9374	439.5499	804.7621	6	29	100.0000	0.2237	0.6700	0.0273
Gfm1	Gfm1-dl1	dl	supported	644.6122	726.9385	927.6715	6	29	100.0000	-0.3060	0.5553	0.0348
Ggta1	Ggta1-l1	l	supported	10.9437	8.1354	28.7803	6	29	100.0000	0.2987	0.5653	0.1510
Gins3	Gins3-dl1	dl	parent correlated	82.4117	70.3226	239.0799	6	29	100.0000	0.9701	0.0013	0.1149
Gja1	Gja1-l1	l	supported	66.0386	68.1019	150.1034	6	29	100.0000	0.0920	0.8624	0.0413
Glrx3	Glrx3-dl1	dl	supported	1418.1812	1458.3303	1795.5849	6	29	100.0000	0.3061	0.5552	0.0066
Gltp	Gltp-dl1	dl	parent correlated	582.8470	574.3123	1463.4516	6	29	100.0000	0.9970	0.0000	0.0862
Glud1	Glud1-dl1	dl	parent correlated	2280.2997	1527.0638	8776.4079	6	29	100.0000	0.9941	0.0001	0.2593
Glul	Glul-dl1	dl	parent correlated	1868.9738	757.3143	5220.8761	6	29	100.0000	0.8631	0.0268	0.1789
Glul	Glul-dl2	dl	parent correlated	1884.9341	894.4506	6009.6622	6	29	100.0000	0.8214	0.0450	0.1663
Glyatl3	Glyatl3-l1	l	low expression	0.0527	0.0000	1.0126	4	5	17.2414	-0.1200	0.8208	0.5131
Gnai2	Gnai2-l1	l	parent correlated	204.3333	163.1837	589.4978	6	29	100.0000	0.9928	0.0001	0.1164
Gnai2	Gnai2-l2	l	parent correlated	1183.5683	890.2409	3121.7641	6	29	100.0000	0.9963	0.0000	0.0980
Gnai3	Gnai3-dl1	dl	supported	99.8846	80.4898	233.3311	6	29	100.0000	0.5499	0.2583	0.0433
Gnai3	Gnai3-dl2	dl	supported	84.4200	75.8043	165.9146	6	29	100.0000	0.5269	0.2828	0.0334
Gnaq	Gnaq-dl1	dl	supported	94.3883	58.8490	332.6684	6	29	100.0000	0.6131	0.1956	0.1357
Gnas	Gnas-l1	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Gnas	Gnas-l2	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Gnas	Gnas-l3	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Gnas	Gnas-l4	l	low expression	0.0864	0.0625	0.3735	6	22	75.8621	0.2878	0.5803	0.0713
Gnas	Gnas-l5	l	supported	14.8948	2.0840	79.0209	6	17	58.6207	0.4263	0.3993	0.4750
Gnas	Gnas-l6	l	parent correlated	124.1999	104.0076	291.4742	6	29	100.0000	0.9811	0.0005	0.0833
Gng10	Gng10-dl1	dl	parent correlated	41.8616	39.2419	86.6072	6	29	100.0000	0.9893	0.0002	0.0537
Gng5	Gng5-dl1	dl	supported	103.0200	93.6277	220.4817	6	29	100.0000	0.5861	0.2216	0.0509
Gng5	Gng5-dl2	dl	low expression	2.5017	0.0000	30.4748	3	5	17.2414	0.3884	0.4467	0.5913
Gng5	Gng5-dl3	dl	supported	68.2846	62.0525	166.0623	6	29	100.0000	0.6343	0.1761	0.0644
Gnl3	Gnl3-dl1	dl	supported	115.5532	106.5165	196.1390	6	29	100.0000	0.1096	0.8363	0.0303
Got1	Got1-dl1	dl	parent correlated	1448.6144	1529.9995	3241.3435	6	29	100.0000	0.9972	0.0000	0.1404
Gpkow	Gpkow-l1	l	parent correlated	214.1035	218.9954	326.0465	6	29	100.0000	0.8756	0.0223	0.0151
Gpkow	Gpkow-l2	l	supported	8.8960	7.9563	17.5893	6	29	100.0000	0.7113	0.1130	0.0438
Gpx7	Gpx7-l1	l	parent correlated	115.3362	110.7469	345.8761	6	29	100.0000	0.9894	0.0002	0.0513
Grb2	Grb2-l1	l	parent correlated	58.7600	40.4901	167.3031	6	29	100.0000	0.9283	0.0075	0.0650
Gsdmc	Gsdmc-l1	l	supported	5.9242	2.3758	47.0785	6	29	100.0000	0.6779	0.1389	0.4768
Gsta4	Gsta4-l1	l	supported	64.2032	40.9344	188.3695	6	29	100.0000	-0.1528	0.7726	0.1531
Gsto1	Gsto1-dl1	dl	parent correlated	5173.1490	3127.1180	18235.2122	6	29	100.0000	0.9959	0.0000	0.2339
Gstp1	Gstp1-l1	l	parent correlated	6284.6823	4587.8577	20246.0065	6	29	100.0000	0.9967	0.0000	0.0661
Gtf3c3	Gtf3c3-l1	l	supported	1.4732	0.8710	6.4233	6	24	82.7586	0.7728	0.0716	0.1511
Gvinp1	Gvinp1-l1	l	low expression	0.3649	0.0000	6.3571	6	11	37.9310	0.0485	0.9273	0.3448
Gvinp1	Gvinp1-l2	l	low expression	1.4479	0.0000	7.5623	5	13	44.8276	-0.0246	0.9631	0.4139
Gvinp1	Gvinp1-l3	l	parent correlated	46.9178	17.8051	262.9157	6	29	100.0000	0.9598	0.0024	0.4935
Gzmb	Gzmb-l1	l	low expression	1.0651	0.0000	8.5348	5	11	37.9310	0.8527	0.0309	0.4767
Gzmb	Gzmb-l10	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Gzmb	Gzmb-l11	l	low expression	0.0242	0.0000	0.4544	2	2	6.8966	-0.1431	0.7868	0.6537
Gzmb	Gzmb-l12	l	low expression	0.3462	0.2293	1.0788	6	29	100.0000	0.4025	0.4289	0.0719
Gzmb	Gzmb-l13	l	low expression	0.0281	0.0000	0.8158	1	1	3.4483	0.7661	0.0757	1.0000
Gzmb	Gzmb-l14	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Gzmb	Gzmb-l15	l	low expression	0.1375	0.0000	3.0876	2	3	10.3448	0.7564	0.0818	0.8113
Gzmb	Gzmb-l2	l	low expression	0.4190	0.0000	4.8118	3	5	17.2414	0.3267	0.5274	0.4713
Gzmb	Gzmb-l3	l	low expression	0.0515	0.0000	1.4933	1	1	3.4483	0.7661	0.0757	1.0000
Gzmb	Gzmb-l4	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Gzmb	Gzmb-l5	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Gzmb	Gzmb-l6	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Gzmb	Gzmb-l7	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Gzmb	Gzmb-l8	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Gzmb	Gzmb-l9	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Gzmh	Gzmh-l1	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
H1-0	H1-0-l1	l	low expression	1.9848	0.0000	51.6011	3	3	10.3448	-0.4802	0.3351	0.8059
H1-0	H1-0-l2	l	supported	164.8708	156.2406	401.2169	6	29	100.0000	0.7651	0.0763	0.0469
H1-3	H1-3-l1	l	parent correlated	29.5938	19.7341	129.1064	6	29	100.0000	0.8895	0.0176	0.1168
H2ab1	H2ab1-l1	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
H2ab1	H2ab1-l2	l	low expression	0.4913	0.0000	14.2491	1	1	3.4483			1.0000
H2ab1	H2ab1-l3	l	low expression	1.4380	0.0000	41.7008	1	1	3.4483			1.0000
H2ab1	H2ab1-l4	l	low expression	0.2054	0.0000	5.9573	1	1	3.4483			1.0000
H2ab1	H2ab1-l5	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
H2ab1	H2ab1-l6	l	low expression	1.5219	0.0000	44.1365	1	1	3.4483			1.0000
H2ac18	H2ac18-l1	l	parent correlated	59.6272	41.5899	294.6600	6	29	100.0000	0.9924	0.0001	0.1408
H2az1	H2az1-l1	l	parent correlated	45.9509	40.7905	107.2263	6	29	100.0000	0.8803	0.0206	0.0239
H2az2	H2az2-l1	l	supported	715.3441	694.7902	1579.0860	6	29	100.0000	0.6643	0.1501	0.0350
H2az2	H2az2-l2	l	low expression	0.6733	0.3297	3.1598	6	23	79.3103	0.5071	0.3045	0.2198
H2b-i	H2b-i-l1	l	parent correlated	160.4051	168.6246	437.1783	6	29	100.0000	0.9165	0.0102	0.0453
H2bc12	H2bc12-l1	l	parent correlated	187.6322	30.0104	2568.9625	6	29	100.0000	0.9871	0.0002	0.6900
H2bc15	H2bc15-dl1	dl	parent correlated	369.7881	52.5834	4540.7591	6	28	96.5517	0.9517	0.0034	0.6493
H2bc15	H2bc15-dl2	dl	parent correlated	288.2994	44.9693	4007.6336	6	28	96.5517	0.9534	0.0032	0.6077
H2bc15	H2bc15-l1	l	parent correlated	1222.6040	682.8895	9626.7917	6	29	100.0000	0.8516	0.0314	0.2836
H2bc15	H2bc15-l2	l	parent correlated	1264.2523	926.5907	6428.4007	6	29	100.0000	0.9448	0.0045	0.1033
H2bc15	H2bc15-l3	l	parent correlated	790.1839	591.1691	3757.8438	6	29	100.0000	0.9456	0.0044	0.0918
H2bc15	H2bc15-l4	l	parent correlated	415.8574	350.0539	961.5333	6	29	100.0000	0.9429	0.0048	0.0267
H2bc15	H2bc15-l5	l	parent correlated	682.4457	119.0960	7845.3140	6	29	100.0000	0.9523	0.0034	0.6163
H2bc15	H2bc15-l6	l	parent correlated	21.0087	4.6377	196.7029	6	28	96.5517	0.9395	0.0054	0.5269
H3c15	H3c15-dl1	dl	parent correlated	1167.6317	361.4843	13309.6214	6	29	100.0000	0.9540	0.0031	0.5508
H3c15	H3c15-dl2	dl	parent correlated	522.9241	127.8644	6202.9657	6	29	100.0000	0.9879	0.0002	0.5446
H3c15	H3c15-dl3	dl	parent correlated	464.0684	281.0551	3555.3390	6	29	100.0000	0.9729	0.0011	0.2717
H3c15	H3c15-l1	l	supported	201.9967	117.9659	1093.8795	6	29	100.0000	0.7996	0.0562	0.1808
H3c15	H3c15-l2	l	parent correlated	419.9429	70.3173	5310.3589	6	29	100.0000	0.9494	0.0038	0.6444
H3c15	H3c15-l3	l	parent correlated	126.7871	39.8944	1352.5711	6	29	100.0000	0.9440	0.0046	0.5288
H3c15	H3c15-l4	l	parent correlated	375.2772	273.2714	2020.1892	6	29	100.0000	0.9326	0.0067	0.1453
Hacd3	Hacd3-dl1	dl	parent correlated	1243.0953	784.0696	3276.4520	6	29	100.0000	0.9872	0.0002	0.1678
Hat1	Hat1-l1	l	supported	294.2366	292.6278	484.0083	6	29	100.0000	0.3900	0.4447	0.0177
Haus4	Haus4-l1	l	parent correlated	450.0492	395.4523	1121.7800	6	29	100.0000	0.9946	0.0000	0.0533
Hdac1	Hdac1-dl1	dl	supported	2.0085	1.2290	6.1411	6	19	65.5172	-0.1810	0.7314	0.0283
Hdac1	Hdac1-dl2	dl	supported	7.0447	6.2962	23.2244	6	25	86.2069	0.5305	0.2789	0.0532
Hdac1	Hdac1-dl3	dl	supported	6.2296	5.4530	20.7366	6	27	93.1034	0.6909	0.1286	0.0786
Hdac1	Hdac1-dl4	dl	parent correlated	5.2966	3.7769	29.8540	6	27	93.1034	0.8987	0.0149	0.0712
Hdac1	Hdac1-dl5	dl	supported	3.9089	4.2707	11.4817	6	23	79.3103	0.5094	0.3020	0.0745
Hdac1	Hdac1-dl6	dl	supported	3.0611	2.7593	6.5566	6	24	82.7586	0.3612	0.4818	0.0204
Hdac1	Hdac1-dl7	dl	low expression	0.1187	0.0000	2.0127	2	2	6.8966	0.8176	0.0469	0.6345
Hdac1	Hdac1-dl8	dl	supported	5.8834	4.3662	18.8142	6	26	89.6552	0.7310	0.0988	0.0733
Hdac1	Hdac1-l1	l	supported	2.1853	1.6321	11.1599	6	19	65.5172	-0.0019	0.9971	0.1426
Herc5	Herc5-l1	l	parent correlated	37.7877	18.9901	112.4145	6	29	100.0000	0.9471	0.0041	0.1458
Hesx1	Hesx1-l1	l	low expression	2.8696	0.0000	15.4830	6	14	48.2759	-0.8050	0.0533	0.1280
Hint1	Hint1-dl1	dl	parent correlated	931.0821	1024.2000	1516.8203	6	29	100.0000	0.9787	0.0007	0.0260
Hint1	Hint1-l1	l	parent correlated	550.2960	552.9224	807.6224	6	29	100.0000	0.9238	0.0085	0.0154
Hipk2	Hipk2-l1	l	supported	4.8470	4.6810	13.2734	6	28	96.5517	0.6492	0.1630	0.0382
Hla-dpb1	Hla-dpb1-l1	l	parent correlated	44.6314	10.6121	172.9200	6	29	100.0000	0.9981	0.0000	0.3890
Hmgb1	Hmgb1-dl1	dl	supported	4.3926	3.1832	19.4957	5	20	68.9655	-0.2109	0.6884	0.1681
Hmgb3	Hmgb3-l1	l	supported	6.3778	4.6592	27.9961	6	24	82.7586	0.7353	0.0958	0.1306
Hmgn2	Hmgn2-dl1	dl	supported	13.5707	11.5345	51.9328	6	27	93.1034	0.5009	0.3115	0.0679
Hmgn2	Hmgn2-dl10	dl	low expression	8.0672	0.0000	197.3318	4	7	24.1379	0.6223	0.1870	0.7680
Hmgn2	Hmgn2-dl2	dl	low expression	1.6003	0.0000	17.9079	4	5	17.2414	0.4957	0.3173	0.3238
Hmgn2	Hmgn2-dl3	dl	supported	3.9868	3.3938	10.1778	6	26	89.6552	-0.1382	0.7940	0.0873
Hmgn2	Hmgn2-dl4	dl	low expression	7.2218	0.0000	49.9299	6	12	41.3793	-0.4781	0.3375	0.1553
Hmgn2	Hmgn2-dl5	dl	supported	30.2103	27.9637	104.4511	6	26	89.6552	-0.0361	0.9459	0.0448
Hmgn2	Hmgn2-dl6	dl	low expression	0.5535	0.0000	7.0394	3	3	10.3448	-0.3573	0.4868	0.4215
Hmgn2	Hmgn2-dl7	dl	low expression	4.8049	0.0000	25.4515	6	11	37.9310	0.2469	0.6372	0.0954
Hmgn2	Hmgn2-dl8	dl	supported	206.5781	160.5819	599.1589	6	29	100.0000	0.3687	0.4720	0.0580
Hmgn2	Hmgn2-dl9	dl	supported	23.6211	20.8410	71.6728	6	29	100.0000	-0.0009	0.9987	0.0537
Hmox1	Hmox1-dl1	dl	parent correlated	455.2375	119.4218	4193.4196	6	29	100.0000	0.9888	0.0002	0.3962
Hnrnpdl	Hnrnpdl-l1	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Hnrnpf	Hnrnpf-l1	l	parent correlated	131.4587	113.5117	299.0789	6	29	100.0000	0.9454	0.0044	0.0343
Hnrnph1	Hnrnph1-l1	l	parent correlated	89.8783	87.3404	184.2096	6	29	100.0000	0.8709	0.0239	0.0242
Hnrnpl	Hnrnpl-l1	l	parent correlated	819.7270	777.6731	1331.7745	6	29	100.0000	0.8419	0.0355	0.0276
Hprt1	Hprt1-dl1	dl	supported	93.7480	73.6464	247.8789	6	28	96.5517	0.7106	0.1135	0.1124
Hprt1	Hprt1-dl2	dl	supported	15.5803	15.0611	43.5678	6	29	100.0000	0.6000	0.2080	0.0486
Hprt1	Hprt1-dl3	dl	supported	108.3192	88.4746	223.4610	6	29	100.0000	0.7299	0.0996	0.0813
Hprt1	Hprt1-dl4	dl	parent correlated	32.0832	28.5447	69.8790	6	28	96.5517	0.8553	0.0299	0.0661
Hprt1	Hprt1-dl5	dl	parent correlated	170.5979	125.5033	365.7703	6	29	100.0000	0.8146	0.0483	0.0939
Hsbp1	Hsbp1-l1	l	parent correlated	2397.3125	2018.1306	4306.7719	6	29	100.0000	0.9961	0.0000	0.0399
Hsd17b10	Hsd17b10-dl1	dl	parent correlated	1964.2636	718.7405	7981.8050	6	29	100.0000	0.9924	0.0001	0.3533
Hsd17b6	Hsd17b6-l1	l	low expression	26.1083	0.0000	167.2098	6	12	41.3793	0.9852	0.0003	0.7628
Hsp90aa1	Hsp90aa1-dl1	dl	parent correlated	1864.4854	1501.9595	4392.4809	6	29	100.0000	0.9887	0.0002	0.0913
Hsp90ab1	Hsp90ab1-dl1	dl	parent correlated	2238.3454	2136.8044	4194.6767	6	29	100.0000	0.9968	0.0000	0.0391
Hspe1	Hspe1-dl1	dl	parent correlated	155.0914	133.0784	383.6568	6	29	100.0000	0.9176	0.0099	0.0765
Hspe1	Hspe1-dl2	dl	supported	77.7090	68.7094	157.9756	6	28	96.5517	0.7681	0.0745	0.0526
Hspe1	Hspe1-dl3	dl	parent correlated	57.8068	46.5280	160.0792	6	26	89.6552	0.9027	0.0137	0.0996
Hspe1	Hspe1-dl4	dl	parent correlated	114.7160	104.7634	257.5272	6	28	96.5517	0.9698	0.0014	0.0955
Hspe1	Hspe1-dl5	dl	parent correlated	28.4242	24.4401	93.4219	6	25	86.2069	0.8920	0.0169	0.1584
Hspe1	Hspe1-dl6	dl	parent correlated	69.1845	68.2048	136.2283	6	28	96.5517	0.9530	0.0033	0.0325
Hspe1	Hspe1-dl7	dl	parent correlated	52.9426	53.4044	138.1155	6	25	86.2069	0.9120	0.0113	0.1137
Hspe1	Hspe1-dl8	dl	parent correlated	160.3734	154.8802	313.9417	6	27	93.1034	0.9407	0.0052	0.0661
Hypk	Hypk-dl1	dl	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Id4	Id4-l1	l	low expression	1.3740	0.0000	12.1400	5	9	31.0345	0.3340	0.5176	0.1933
Idh3a	Idh3a-dl1	dl	parent correlated	897.7592	627.9767	1980.3540	6	29	100.0000	0.9859	0.0003	0.1212
Idi1	Idi1-dl1	dl	parent correlated	305.9286	157.5193	1354.3532	6	29	100.0000	0.9933	0.0001	0.1931
Idi1	Idi1-dl2	dl	parent correlated	28.0341	20.6111	97.6110	6	25	86.2069	0.9226	0.0088	0.0777
Idi1	Idi1-dl3	dl	parent correlated	408.3031	246.3491	1808.5966	6	29	100.0000	0.9985	0.0000	0.1914
Ifi16	Ifi16-l1	l	parent correlated	148.8191	76.7198	471.6905	6	29	100.0000	0.9261	0.0080	0.1904
Ifi27l2	Ifi27l2-l1	l	parent correlated	4424.2831	4261.3329	12221.9905	6	29	100.0000	0.9064	0.0127	0.0707
Ifit1	Ifit1-l1	l	supported	10.0664	5.4932	44.8795	6	29	100.0000	0.7207	0.1061	0.2045
Ifit1	Ifit1-l2	l	supported	87.9847	53.6912	344.2621	6	29	100.0000	0.6935	0.1265	0.1698
Ifit1	Ifit1-l3	l	supported	36.6365	22.5112	107.4441	6	29	100.0000	0.4437	0.3781	0.0942
Ifitm3	Ifitm3-dl1	dl	supported	432.6543	299.1129	1124.8109	6	29	100.0000	0.7682	0.0744	0.1414
Ifitm3	Ifitm3-dl2	dl	supported	2192.2489	1369.0935	5698.5720	6	29	100.0000	0.6978	0.1232	0.1405
Ifitm3	Ifitm3-l1	l	supported	1204.8818	756.0636	3162.6936	6	29	100.0000	0.7586	0.0804	0.1424
Ifnb1	Ifnb1-dl1	dl	low expression	1.6947	0.0000	10.7868	5	10	34.4828	0.7153	0.1101	0.4386
Ifng	Ifng-dl1	dl	low expression	0.0537	0.0000	0.7011	2	3	10.3448	-0.0612	0.9083	0.8006
Ifnl3	Ifnl3-l1	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Ifnl3	Ifnl3-l2	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Ifnw1	Ifnw1-l1	l	low expression	0.0328	0.0000	0.4983	1	3	10.3448	0.5449	0.2635	1.0000
Igbp1	Igbp1-dl1	dl	supported	18.7648	19.1565	36.8315	6	27	93.1034	0.0759	0.8864	0.0132
Igbp1	Igbp1-dl2	dl	supported	363.1500	365.2966	471.2772	6	29	100.0000	0.0874	0.8693	0.0056
Igbp1	Igbp1-dl3	dl	parent correlated	86.2756	81.7799	130.9092	6	29	100.0000	0.9127	0.0111	0.0026
Ighv2-5	Ighv2-5-dl1	dl	low expression	1.9304	0.0000	35.6387	1	3	10.3448	1.0000	0.0000	1.0000
Ik	Ik-dl1	dl	parent correlated	1963.4756	1694.0481	3084.9032	6	29	100.0000	0.8482	0.0328	0.0220
Il13ra1	Il13ra1-l1	l	parent correlated	317.6625	174.5720	1104.1364	6	29	100.0000	0.9966	0.0000	0.1354
Ilf2	Ilf2-l1	l	parent correlated	1092.1629	1048.2539	1900.6169	6	29	100.0000	0.9468	0.0042	0.0226
Immp1l	Immp1l-dl1	dl	supported	144.6877	146.1787	218.3654	6	29	100.0000	-0.5623	0.2455	0.0043
Ino80c	Ino80c-dl1	dl	parent correlated	266.2195	290.6415	497.7112	6	29	100.0000	0.8718	0.0236	0.0397
Ino80c	Ino80c-dl2	dl	parent correlated	8.3933	3.0291	40.3341	6	22	75.8621	0.8095	0.0510	0.3019
Ino80c	Ino80c-dl3	dl	low expression	5.6757	0.0000	40.1919	5	14	48.2759	0.9560	0.0029	0.1467
Ipo5	Ipo5-l1	l	parent correlated	340.7822	318.6973	560.5605	6	29	100.0000	0.9807	0.0006	0.0284
Iqcf5	Iqcf5-l1	l	low expression	1.1986	0.0000	24.3372	4	4	13.7931	0.6772	0.1395	0.5719
Isca1	Isca1-dl1	dl	parent correlated	143.6395	151.6866	277.6476	6	28	96.5517	0.9614	0.0022	0.0382
Ist1	Ist1-l1	l	parent correlated	305.0297	293.4605	568.2479	6	29	100.0000	0.8416	0.0356	0.0283
Itfg2	Itfg2-dl1	dl	supported	150.2746	160.7522	218.9180	6	29	100.0000	0.3007	0.5625	0.0207
Itm2a	Itm2a-l1	l	low expression	1.6527	0.0000	21.0094	5	8	27.5862	0.6707	0.1448	0.3669
Itm2a	Itm2a-l2	l	parent correlated	65.3986	17.6464	337.0467	6	27	93.1034	0.9857	0.0003	0.4726
Itm2b	Itm2b-dl1	dl	parent correlated	1025.0191	1007.5340	2119.1897	6	29	100.0000	0.9608	0.0023	0.0426
Itm2b	Itm2b-dl2	dl	parent correlated	1015.3080	1006.0216	1969.8725	6	29	100.0000	0.8977	0.0152	0.0378
