family	gene_name	gene_id	gene_type	chrom	start	end	strand	length	paralog_type	copy_num
Pgk1	Pgk1-dl1	gene-Pgk1-dl1	paralog_dl	chr14	87410882	87411820	+	939	dl	1.0
Pgk1	Pgk1-dl2	gene-Pgk1-dl2	paralog_dl	chr16	27458528	27460209	+	1682	dl	2.0
Pgk1	Pgk1-dl3	gene-Pgk1-dl3	paralog_dl	chr16	83042989	83044770	+	1782	dl	3.0
Pgk1	Pgk1-dl4	gene-Pgk1-dl4	paralog_dl	chr24	49126720	49129292	-	2573	dl	4.0
Phb2	Phb2	gene-Phb2	parent	chr4	100039481	100045414	+	5934		
Phb2	Phb2-dl1	gene-Phb2-dl1	paralog_dl	chr16	42870129	42871447	-	1319	dl	1.0
Phgdh	Phgdh	gene-Phgdh	parent	chr21	2848475	2883483	-	35009		
Phgdh	Phgdh-l1	gene-Phgdh-l1	paralog_l	chr9	87594401	87596214	-	1814	l	1.0
Picalm	Picalm	gene-Picalm	parent	chr24	4056699	4129660	+	72962		
Picalm	Picalm-l1	gene-Picalm-l1	paralog_l	chrX	758424	822722	-	64299	l	1.0
Pin4	Pin4	gene-Pin4	parent	chrX	108089075	108111875	-	22801		
Pin4	Pin4-dl2	gene-Pin4-dl2	paralog_dl	chrX	197079533	197081309	+	1777	dl	2.0
Pin4	Pin4-dl1	gene-Pin4-dl1	paralog_dl	chr24	42638439	42638880	-	442	dl	1.0
Pirb	Pirb	gene-Pirb	parent	chr2	41971830	41979650	+	7821		
Pirb	Pirb-l1	gene-Pirb-l1	paralog_l	chr2	40723230	40728917	-	5688	l	1.0
Pirb	Pirb-l2	gene-Pirb-l2	paralog_l	chr2	40784598	40789911	-	5314	l	2.0
Pirb	Pirb-l3	gene-Pirb-l3	paralog_l	chr2	40810454	40865181	-	54728	l	3.0
Pirb	Pirb-l4	gene-Pirb-l4	paralog_l	chr2	40935265	40942988	-	7724	l	4.0
Pirb	Pirb-rl1	gene-Pirb-rl1	paralog_rl	chr2	42135875	42142050	+	6176	rl	1.0
Pkm	Pkm	gene-Pkm	parent	chr17	14931569	14959582	-	28014		
Pkm	Pkm-l2	gene-Pkm-l2	paralog_l	chr8	46477225	46492787	-	15563	l	2.0
Pkm	Pkm-l1	gene-Pkm-l1	paralog_l	chr18	58362825	58369869	-	7045	l	1.0
Plcg2	Plcg2	gene-Plcg2	parent	chr1	170581744	170711711	+	129968		
Plcg2	Plcg2-l1	gene-Plcg2-l1	paralog_l	chr1	170798345	170827075	+	28731	l	1.0
Pld6	Pld6	gene-Pld6	parent	chr7	52906821	52910824	-	4004		
Pld6	Pld6-l1	gene-Pld6-l1	paralog_l	chr13	101484664	101486033	+	1370	l	1.0
Plekhf1	Plekhf1	gene-Plekhf1	parent	chr2	14121608	14130993	+	9386		
Plekhf1	Plekhf1-l1	gene-Plekhf1-l1	paralog_l	chr4	76124589	76126158	-	1570	l	1.0
Plekhf2	Plekhf2	gene-Plekhf2	parent	chr15	56294616	56295753	-	1138		
Plekhf2	Plekhf2-dl1	gene-Plekhf2-dl1	paralog_dl	chr11	30207916	30212264	-	4349	dl	1.0
Plekhf2	Plekhf2-dl2	gene-Plekhf2-dl2	paralog_dl	chr24	48336614	48339109	-	2496	dl	2.0
Plk1	Plk1	gene-Plk1	parent	chr3	6887163	6897712	-	10550		
Plk1	Plk1-dl1	gene-Plk1-dl1	paralog_dl	chr14	15438999	15440816	+	1818	dl	1.0
Plrg1	Plrg1	gene-Plrg1	parent	chr23	7810280	7823561	+	13282		
Plrg1	Plrg1-dl1	gene-Plrg1-dl1	paralog_dl	chrX	19323546	19325362	-	1817	dl	1.0
Plscr1	Plscr1	gene-Plscr1	parent	chr6	84017766	84054078	-	36313		
Plscr1	Plscr1-l1	gene-Plscr1-l1	paralog_l	chr6	84090982	84105579	-	14598	l	1.0
Plscr1	Plscr1-l2	gene-Plscr1-l2	paralog_l	chr6	84231291	84268656	-	37366	l	2.0
Pnma5	Pnma5	gene-Pnma5	parent	chrX	2792001	2793320	+	1320		
Pnma5	Pnma5-l1	gene-Pnma5-l1	paralog_l	chrX	2858299	2859524	+	1226	l	1.0
Poldip2	Poldip2	gene-Poldip2	parent	chr7	27971146	27981051	-	9906		
Poldip2	Poldip2-dl1	gene-Poldip2-dl1	paralog_dl	chr12	23692368	23694493	+	2126	dl	1.0
Pole3	Pole3	gene-Pole3	parent	chr14	88536875	88537648	-	774		
Pole3	Pole3-l1	gene-Pole3-l1	paralog_l	chr7	118664268	118666484	+	2217	l	1.0
Polr1c	Polr1c	gene-Polr1c	parent	chr1	11736822	11741697	+	4876		
Polr1c	Polr1c-l1	gene-Polr1c-l1	paralog_l	chr7	6628204	6637291	+	9088	l	1.0
Polr1d	Polr1d	gene-Polr1d	parent	chr5	122077490	122079489	+	2000		
Polr1d	Polr1d-l1	gene-Polr1d-l1	paralog_l	chr25	38748173	38750090	-	1918	l	1.0
Polr1has	Polr1has	gene-Polr1has	parent	chr1	279196	285748	-	6553		
Polr1has	Polr1has-l1	gene-Polr1has-l1	paralog_l	chr28	21471419	21476128	-	4710	l	1.0
Polr2g	Polr2g	gene-Polr2g	parent	chr4	47873944	47877190	-	3247		
Polr2g	Polr2g-dl1	gene-Polr2g-dl1	paralog_dl	chr3	8106002	8106635	-	634	dl	1.0
Polr2h	Polr2h	gene-Polr2h	parent	chr16	282169	289154	-	6986		
Polr2h	Polr2h-l1	gene-Polr2h-l1	paralog_l	chr2	42436664	42437388	+	725	l	1.0
Polr2j	Polr2j	gene-Polr2j	parent	chr6	34283875	34289551	-	5677		
Polr2j	Polr2j-dl1	gene-Polr2j-dl1	paralog_dl	chr26	12229658	12230468	-	811	dl	1.0
Polr2k	Polr2k	gene-Polr2k	parent	chr11	25087898	25092382	-	4485		
Polr2k	Polr2k-l1	gene-Polr2k-l1	paralog_l	chr3	124522103	124522618	+	516	l	1.0
Polr2m	Polr2m	gene-Polr2m	parent	chr17	2396859	2404029	+	7171		
Polr2m	Polr2m-l1	gene-Polr2m-l1	paralog_l	chr15	82612337	82613301	-	965	l	1.0
Pomp	Pomp	gene-Pomp	parent	chr5	123203434	123218583	+	15150		
Pomp	Pomp-dl2	gene-Pomp-dl2	paralog_dl	chrX	106645902	106646165	+	264	dl	2.0
Pomp	Pomp-dl1	gene-Pomp-dl1	paralog_dl	chr2	41407443	41407917	-	475	dl	1.0
Pomp	Pomp-l1	gene-Pomp-l1	paralog_l	chr28	18477804	18478339	-	536	l	1.0
Pou2f3	Pou2f3	gene-Pou2f3	parent	chr25	42623046	42708181	+	85136		
Pou2f3	Pou2f3-dl1	gene-Pou2f3-dl1	paralog_dl	chr15	83711564	83712841	-	1278	dl	1.0
Ppa1	Ppa1	gene-Ppa1	parent	chr1	24490260	24511415	+	21156		
Ppa1	Ppa1-dl1	gene-Ppa1-dl1	paralog_dl	chr15	3009772	3010927	+	1156	dl	1.0
Pphln1	Pphln1	gene-Pphln1	parent	chr16	14352633	14629171	-	276539		
Pphln1	Pphln1-l1	gene-Pphln1-l1	paralog_l	chr20	31038847	31040421	+	1575	l	1.0
Ppia	Ppia	gene-Ppia	parent	chr6	42851347	42854916	+	3570		
Ppia	Ppia-dl1	gene-Ppia-dl1	paralog_dl	chr13	101843170	101846283	-	3114	dl	1.0
Ppia	Ppia-dl2	gene-Ppia-dl2	paralog_dl	chr16	50888394	50890039	-	1646	dl	2.0
Ppia	Ppia-dl3	gene-Ppia-dl3	paralog_dl	chr20	34281645	34282139	+	495	dl	3.0
Ppia	Ppia-l1	gene-Ppia-l1	paralog_l	chr24	26886940	26905898	+	18959	l	1.0
Ppil1	Ppil1	gene-Ppil1	parent	chr1	8266764	8281391	+	14628		
Ppil1	Ppil1-dl1	gene-Ppil1-dl1	paralog_dl	chr7	108145189	108146879	+	1691	dl	1.0
Ppp1r14b	Ppp1r14b	gene-Ppp1r14b	parent	chr4	84125283	84127366	+	2084		
Ppp1r14b	Ppp1r14b-dl1	gene-Ppp1r14b-dl1	paralog_dl	chr6	117120777	117121464	+	688	dl	1.0
Ppp1r2	Ppp1r2	gene-Ppp1r2	parent	chr16	97790990	97810852	+	19863		
Ppp1r2	Ppp1r2-l1	gene-Ppp1r2-l1	paralog_l	chr7	38414561	38418225	+	3665	l	1.0
Ppp3cb	Ppp3cb	gene-Ppp3cb	parent	chr1	21510767	21554985	+	44219		
Ppp3cb	Ppp3cb-l1	gene-Ppp3cb-l1	paralog_l	chr4	14894298	14897295	+	2998	l	1.0
Ppp3r1	Ppp3r1	gene-Ppp3r1	parent	chr22	32703434	32849631	+	146198		
Ppp3r1	Ppp3r1-dl1	gene-Ppp3r1-dl1	paralog_dl	chr3	110930866	110933501	-	2636	dl	1.0
Ppp4r1	Ppp4r1	gene-Ppp4r1	parent	chr10	3342386	3400885	+	58500		
Ppp4r1	Ppp4r1-l1	gene-Ppp4r1-l1	paralog_l	chr20	85444291	85530351	-	86061	l	1.0
Ppp4r3b	Ppp4r3b	gene-Ppp4r3b	parent	chr22	49557053	49611956	+	54904		
Ppp4r3b	Ppp4r3b-l1	gene-Ppp4r3b-l1	paralog_l	chrX	165571566	165573884	+	2319	l	1.0
Prdx1	Prdx1	gene-Prdx1	parent	chr19	48401396	48413234	-	11839		
Prdx1	Prdx1-dl5	gene-Prdx1-dl5	paralog_dl	chrX	88790968	88791495	-	528	dl	5.0
Prdx1	Prdx1-dl1	gene-Prdx1-dl1	paralog_dl	chr1	68953401	68953997	+	597	dl	1.0
Prdx1	Prdx1-l1	gene-Prdx1-l1	paralog_l	chr3	7216324	7216791	-	468	l	1.0
Prdx1	Prdx1-dl4	gene-Prdx1-dl4	paralog_dl	chr9	125985467	125986006	+	540	dl	4.0
Prdx1	Prdx1-dl2	gene-Prdx1-dl2	paralog_dl	chr16	7730334	7732387	-	2054	dl	2.0
Prdx1	Prdx1-dl3	gene-Prdx1-dl3	paralog_dl	chr20	36916483	36917336	-	854	dl	3.0
Prdx3	Prdx3	gene-Prdx3	parent	chr28	24810063	24822962	+	12900		
Prdx3	Prdx3-dl1	gene-Prdx3-dl1	paralog_dl	chr1	59311884	59312657	-	774	dl	1.0
Prdx5	Prdx5	gene-Prdx5	parent	chr4	84056299	84059702	-	3404		
Prdx5	Prdx5-l1	gene-Prdx5-l1	paralog_l	chr19	55767912	55768459	-	548	l	1.0
Prelid1	Prelid1	gene-Prelid1	parent	chr11	85425754	85429618	-	3865		
Prelid1	Prelid1-l1	gene-Prelid1-l1	paralog_l	chr3	121061583	121062335	-	753	l	1.0
Prelid1	Prelid1-dl1	gene-Prelid1-dl1	paralog_dl	chr16	74602443	74603388	+	946	dl	1.0
Prelid1	Prelid1-dl2	gene-Prelid1-dl2	paralog_dl	chr19	13378098	13380386	+	2289	dl	2.0
Prelid3b	Prelid3b	gene-Prelid3b	parent	chr20	86250909	86263440	-	12532		
Prelid3b	Prelid3b-dl1	gene-Prelid3b-dl1	paralog_dl	chr9	89607031	89607615	-	585	dl	1.0
Prim1	Prim1	gene-Prim1	parent	chr16	42127742	42146755	+	19014		
Prim1	Prim1-dl1	gene-Prim1-dl1	paralog_dl	chr19	28737977	28739215	-	1239	dl	1.0
Prkci	Prkci	gene-Prkci	parent	chr16	82186513	82273547	+	87035		
Prkci	Prkci-dl1	gene-Prkci-dl1	paralog_dl	chr19	24276107	24278407	-	2301	dl	1.0
Prkrip1	Prkrip1	gene-Prkrip1	parent	chr6	34209543	34243970	+	34428		
Prkrip1	Prkrip1-dl1	gene-Prkrip1-dl1	paralog_dl	chr20	71995970	71998130	+	2161	dl	1.0
Prkrip1	Prkrip1-dl2	gene-Prkrip1-dl2	paralog_dl	chr26	37773854	37774805	-	952	dl	2.0
Prnp	Prnp	gene-Prnp	parent	chr3	147028030	147045918	-	17889		
Prnp	Prnp-l1	gene-Prnp-l1	paralog_l	chr3	108180827	108181650	+	824	l	1.0
Prps1	Prps1	gene-Prps1	parent	chrX	70240964	70242410	-	1447		
Prps1	Prps1-l2	gene-Prps1-l2	paralog_l	chrX	69211060	69236937	-	25878	l	2.0
Prps1	Prps1-l1	gene-Prps1-l1	paralog_l	chr2	60762111	60765689	-	3579	l	1.0
Prps1	Prps1-dl2	gene-Prps1-dl2	paralog_dl	chr3	137012150	137014163	+	2014	dl	2.0
Prps1	Prps1-dl1	gene-Prps1-dl1	paralog_dl	chr12	57801910	57803597	-	1688	dl	1.0
Prss40	Prss40	gene-Prss40	parent	chr2	43007330	43008617	+	1288		
Prss40	Prss40-l1	gene-Prss40-l1	paralog_l	chr2	43180107	43181318	+	1212	l	1.0
Prss44	Prss44	gene-Prss44	parent	chr16	2718816	2724833	+	6018		
Prss44	Prss44-l1	gene-Prss44-l1	paralog_l	chr16	2778283	2780974	+	2692	l	1.0
Prss44	Prss44-l2	gene-Prss44-l2	paralog_l	chr16	2789742	2792711	+	2970	l	2.0
Prss58	Prss58	gene-Prss58	parent	chr22	67804068	67819084	-	15017		
Prss58	Prss58-l1	gene-Prss58-l1	paralog_l	chr22	67823166	67830828	-	7663	l	1.0
Psma2	Psma2	gene-Psma2	parent	chr6	15065064	15076062	+	10999		
Psma2	Psma2-dl3	gene-Psma2-dl3	paralog_dl	chr2	27117752	27118604	+	853	dl	3.0
Psma2	Psma2-dl1	gene-Psma2-dl1	paralog_dl	chr12	83475480	83475944	+	465	dl	1.0
Psma2	Psma2-dl2	gene-Psma2-dl2	paralog_dl	chr14	34864863	34865702	-	840	dl	2.0
Psma2	Psma2-dl4	gene-Psma2-dl4	paralog_dl	chr25	42668646	42669548	-	903	dl	4.0
Psma3	Psma3	gene-Psma3	parent	chr27	7731856	7754877	-	23022		
Psma3	Psma3-l1	gene-Psma3-l1	paralog_l	chr24	12892198	12893058	+	861	l	1.0
Psma5	Psma5	gene-Psma5	parent	chr21	14527856	14547576	+	19721		
Psma5	Psma5-dl1	gene-Psma5-dl1	paralog_dl	chr18	18281844	18284256	+	2413	dl	1.0
Psmb2	Psmb2	gene-Psmb2	parent	chr19	27590220	27641581	-	51362		
Psmb2	Psmb2-l1	gene-Psmb2-l1	paralog_l	chr19	74097840	74098683	+	844	l	1.0
Psmb3	Psmb3	gene-Psmb3	parent	chr7	5090331	5098745	-	8415		
Psmb3	Psmb3-l1	gene-Psmb3-l1	paralog_l	chr19	27751693	27752522	-	830	l	1.0
Psmc1	Psmc1	gene-Psmc1	parent	chr27	38498396	38511563	+	13168		
Psmc1	Psmc1-dl3	gene-Psmc1-dl3	paralog_dl	chrY	39046906	39048228	+	1323	dl	3.0
Psmc1	Psmc1-dl4	gene-Psmc1-dl4	paralog_dl	chrY	46307301	46308158	+	858	dl	4.0
Psmc1	Psmc1-dl1	gene-Psmc1-dl1	paralog_dl	chr5	20818863	20819900	-	1038	dl	1.0
Psmc1	Psmc1-dl2	gene-Psmc1-dl2	paralog_dl	chr6	64360436	64361758	+	1323	dl	2.0
Psmc3	Psmc3	gene-Psmc3	parent	chr4	61399533	61405664	+	6132		
Psmc3	Psmc3-dl1	gene-Psmc3-dl1	paralog_dl	chr4	13176190	13177501	-	1312	dl	1.0
Psmc5	Psmc5	gene-Psmc5	parent	chr18	7163886	7169060	+	5175		
Psmc5	Psmc5-dl1	gene-Psmc5-dl1	paralog_dl	chr27	30626727	30627683	+	957	dl	1.0
Psmd1	Psmd1	gene-Psmd1	parent	chr1	60849917	60955950	-	106034		
Psmd1	Psmd1-dl1	gene-Psmd1-dl1	paralog_dl	chr8	48982220	48984109	+	1890	dl	1.0
Psmd1	Psmd1-dl2	gene-Psmd1-dl2	paralog_dl	chr8	50649618	50651507	+	1890	dl	2.0
Psmd1	Psmd1-dl3	gene-Psmd1-dl3	paralog_dl	chr8	54857092	54858981	+	1890	dl	3.0
Psmd1	Psmd1-dl4	gene-Psmd1-dl4	paralog_dl	chr8	56234357	56236246	+	1890	dl	4.0
Psmd12	Psmd12	gene-Psmd12	parent	chr18	8701372	8725140	+	23769		
Psmd12	Psmd12-l1	gene-Psmd12-l1	paralog_l	chr1	139328962	139330847	+	1886	l	1.0
Psmd12	Psmd12-dl1	gene-Psmd12-dl1	paralog_dl	chr9	84239074	84240770	-	1697	dl	1.0
Psmd14	Psmd14	gene-Psmd14	parent	chr9	18404656	18504596	+	99941		
Psmd14	Psmd14-dl1	gene-Psmd14-dl1	paralog_dl	chr27	18543020	18544544	-	1525	dl	1.0
Psmd3	Psmd3	gene-Psmd3	parent	chr7	4222712	4239080	-	16369		
Psmd3	Psmd3-dl1	gene-Psmd3-dl1	paralog_dl	chr5	101980475	101982322	+	1848	dl	1.0
Pspc1	Pspc1	gene-Pspc1	parent	chr19	18322272	18323810	+	1539		
Pspc1	Pspc1-l1	gene-Pspc1-l1	paralog_l	chr5	114132973	114231696	-	98724	l	1.0
Pten	Pten	gene-Pten	parent	chr1	35095290	35188415	+	93126		
Pten	Pten-dl1	gene-Pten-dl1	paralog_dl	chr19	49933844	49935070	-	1227	dl	1.0
Ptgr2	Ptgr2	gene-Ptgr2	parent	chr27	1748672	1787871	-	39200		
Ptgr2	Ptgr2-l1	gene-Ptgr2-l1	paralog_l	chr21	60803665	60805269	+	1605	l	1.0
Ptms	Ptms	gene-Ptms	parent	chr4	100259381	100261762	-	2382		
Ptms	Ptms-dl1	gene-Ptms-dl1	paralog_dl	chr12	119396050	119396985	-	936	dl	1.0
Ptp4a2	Ptp4a2	gene-Ptp4a2	parent	chr19	23595436	23639633	-	44198		
Ptp4a2	Ptp4a2-l1	gene-Ptp4a2-l1	paralog_l	chr8	110463869	110466783	+	2915	l	1.0
Pudp	Pudp	gene-Pudp	parent	chr4	95295577	95296151	+	575		
Pudp	Pudp-dl2	gene-Pudp-dl2	paralog_dl	chrX	193215054	193281714	+	66661	dl	2.0
Pudp	Pudp-dl1	gene-Pudp-dl1	paralog_dl	chr23	18913815	18977969	-	64155	dl	1.0
Pum3	Pum3	gene-Pum3	parent	chr9	109818430	109857047	-	38618		
Pum3	Pum3-l1	gene-Pum3-l1	paralog_l	chr28	5541529	5544669	-	3141	l	1.0
Pwwp3b	Pwwp3b	gene-Pwwp3b	parent	chrX	70911473	70919362	+	7890		
Pwwp3b	Pwwp3b-l1	gene-Pwwp3b-l1	paralog_l	chrX	71010190	71052890	-	42701	l	1.0
Pycr1	Pycr1	gene-Pycr1	parent	chr18	27513325	27517679	-	4355		
Pycr1	Pycr1-l1	gene-Pycr1-l1	paralog_l	chr17	10454729	10456033	-	1305	l	1.0
Pygo1	Pygo1	gene-Pygo1	parent	chr8	675724	691129	+	15406		
Pygo1	Pygo1-dl1	gene-Pygo1-dl1	paralog_dl	chr4	116351480	116352517	+	1038	dl	1.0
Pygo1	Pygo1-dl2	gene-Pygo1-dl2	paralog_dl	chr4	122486034	122487047	+	1014	dl	2.0
Pygo1	Pygo1-dl3	gene-Pygo1-dl3	paralog_dl	chr4	141283504	141284541	+	1038	dl	3.0
Pygo1	Pygo1-dl4	gene-Pygo1-dl4	paralog_dl	chr4	141661007	141662044	-	1038	dl	4.0
Pygo1	Pygo1-dl5	gene-Pygo1-dl5	paralog_dl	chr4	143673583	143674620	-	1038	dl	5.0
Pygo1	Pygo1-dl6	gene-Pygo1-dl6	paralog_dl	chr4	145648328	145649347	+	1020	dl	6.0
Pyurf	Pyurf	gene-Pyurf	parent	chr1	110857131	110859847	-	2717		
Pyurf	Pyurf-l1	gene-Pyurf-l1	paralog_l	chr1	47021743	47022901	-	1159	l	1.0
Pyurf	Pyurf-l2	gene-Pyurf-l2	paralog_l	chr3	40250729	40251061	+	333	l	2.0
Pyurf	Pyurf-dl1	gene-Pyurf-dl1	paralog_dl	chr20	35959156	35960066	-	911	dl	1.0
Rab13	Rab13	gene-Rab13	parent	chr22	58332310	58354495	+	22186		
Rab13	Rab13-l1	gene-Rab13-l1	paralog_l	chrX	133524437	133525186	+	750	l	1.0
Rab13	Rab13-dl1	gene-Rab13-dl1	paralog_dl	chr26	48631862	48632473	+	612	dl	1.0
Rab14	Rab14	gene-Rab14	parent	chr14	97153995	97179994	-	26000		
Rab14	Rab14-dl1	gene-Rab14-dl1	paralog_dl	chr9	101104811	101105575	-	765	dl	1.0
Rab18	Rab18	gene-Rab18	parent	chr2	48458847	48508155	+	49309		
Rab18	Rab18-l1	gene-Rab18-l1	paralog_l	chr6	95989239	95991669	-	2431	l	1.0
Rab1a	Rab1a	gene-Rab1a	parent	chr22	36215883	36260876	+	44994		
Rab1a	Rab1a-l1	gene-Rab1a-l1	paralog_l	chrX	40984756	40985593	-	838	l	1.0
Rab2a	Rab2a	gene-Rab2a	parent	chr11	67298191	67378240	-	80050		
Rab2a	Rab2a-dl1	gene-Rab2a-dl1	paralog_dl	chr2	5301470	5303295	-	1826	dl	1.0
Rab2a	Rab2a-l1	gene-Rab2a-l1	paralog_l	chr28	8571905	8578607	-	6703	l	1.0
Rab5a	Rab5a	gene-Rab5a	parent	chr19	78098283	78141466	-	43184		
Rab5a	Rab5a-dl1	gene-Rab5a-dl1	paralog_dl	chr16	45601457	45603621	-	2165	dl	1.0
Rab5if	Rab5if	gene-Rab5if	parent	chr6	78160620	78161075	-	456		
Rab5if	Rab5if-dl1	gene-Rab5if-dl1	paralog_dl	chr17	85080602	85083460	-	2859	dl	1.0
Rad23b	Rad23b	gene-Rad23b	parent	chr14	82043069	82088585	+	45517		
Rad23b	Rad23b-dl1	gene-Rad23b-dl1	paralog_dl	chr12	21494304	21495743	-	1440	dl	1.0
Rad51	Rad51	gene-Rad51	parent	chr15	90980945	91004724	-	23780		
Rad51	Rad51-dl1	gene-Rad51-dl1	paralog_dl	chr4	127891097	127892116	-	1020	dl	1.0
Rad51	Rad51-dl2	gene-Rad51-dl2	paralog_dl	seq31	697591	698610	-	1020	dl	2.0
Ralgds	Ralgds	gene-Ralgds	parent	chr14	111219694	111256973	-	37280		
Ralgds	Ralgds-l4	gene-Ralgds-l4	paralog_l	chr4	13029241	13032681	-	3441	l	4.0
Ralgds	Ralgds-l5	gene-Ralgds-l5	paralog_l	chr4	13033692	13047119	-	13428	l	5.0
Ralgds	Ralgds-l1	gene-Ralgds-l1	paralog_l	chr14	47674400	47676615	+	2216	l	1.0
Ralgds	Ralgds-l2	gene-Ralgds-l2	paralog_l	chr22	33769180	33771331	+	2152	l	2.0
Ralgds	Ralgds-l3	gene-Ralgds-l3	paralog_l	chr23	82444350	82446594	-	2245	l	3.0
Ran	Ran	gene-Ran	parent	chr20	1405680	1407112	-	1433		
Ran	Ran-l1	gene-Ran-l1	paralog_l	chrX	135690164	135691199	+	1036	l	1.0
Ranbp1	Ranbp1	gene-Ranbp1	parent	chr20	33513440	33521082	+	7643		
Ranbp1	Ranbp1-dl2	gene-Ranbp1-dl2	paralog_dl	chrX	83613703	83614481	+	779	dl	2.0
Ranbp1	Ranbp1-dl1	gene-Ranbp1-dl1	paralog_dl	chr19	60004348	60007268	+	2921	dl	1.0
Ranbp10	Ranbp10	gene-Ranbp10	parent	chr1	156564834	156640527	-	75694		
Ranbp10	Ranbp10-l1	gene-Ranbp10-l1	paralog_l	chrX	105738249	105740129	+	1881	l	1.0
Rap1b	Rap1b	gene-Rap1b	parent	chr16	28878893	28922709	-	43817		
Rap1b	Rap1b-dl1	gene-Rap1b-dl1	paralog_dl	chr10	23881774	23884749	+	2976	dl	1.0
Rap1b	Rap1b-dl2	gene-Rap1b-dl2	paralog_dl	chr20	68758032	68761265	+	3234	dl	2.0
Rap1b	Rap1b-dl3	gene-Rap1b-dl3	paralog_dl	chr24	43650727	43651721	+	995	dl	3.0
Rbm22	Rbm22	gene-Rbm22	parent	chr3	30216452	30230036	+	13585		
Rbm22	Rbm22-dl1	gene-Rbm22-dl1	paralog_dl	chrX	65183409	65184671	+	1263	dl	1.0
Rbm3	Rbm3	gene-Rbm3	parent	chrX	134356230	134360025	-	3796		
Rbm3	Rbm3-l1	gene-Rbm3-l1	paralog_l	chr7	6857925	6859040	+	1116	l	1.0
Rbm39	Rbm39	gene-Rbm39	parent	chr20	63150379	63194986	-	44608		
Rbm39	Rbm39-l1	gene-Rbm39-l1	paralog_l	chrX	89518089	89520792	+	2704	l	1.0
Rbm4	Rbm4	gene-Rbm4	parent	chr22	32674368	32674799	+	432		
Rbm4	Rbm4-l1	gene-Rbm4-l1	paralog_l	chr4	81738874	81765761	-	26888	l	1.0
Rbm5	Rbm5	gene-Rbm5	parent	chr6	62691739	62721602	-	29864		
Rbm5	Rbm5-l1	gene-Rbm5-l1	paralog_l	chr4	73137104	73140186	-	3083	l	1.0
Rbmx	Rbmx	gene-Rbmx	parent	chrX	25804048	25810577	+	6530		
Rbmx	Rbmx-l1	gene-Rbmx-l1	paralog_l	chr20	32288316	32292378	+	4063	l	1.0
Rdh16	Rdh16	gene-Rdh16	parent	chr16	41381044	41386267	+	5224		
Rdh16	Rdh16-l1	gene-Rdh16-l1	paralog_l	chr16	41462045	41468269	+	6225	l	1.0
Rflnb	Rflnb	gene-Rflnb	parent	chr7	31089415	31097717	+	8303		
Rflnb	Rflnb-dl2	gene-Rflnb-dl2	paralog_dl	chr8	59421765	59422418	-	654	dl	2.0
Rflnb	Rflnb-dl1	gene-Rflnb-dl1	paralog_dl	chr21	13059686	13060568	-	883	dl	1.0
Rgs9bp	Rgs9bp	gene-Rgs9bp	parent	chr2	17014816	17019019	+	4204		
Rgs9bp	Rgs9bp-l1	gene-Rgs9bp-l1	paralog_l	chr20	74216727	74225603	-	8877	l	1.0
Rhoa	Rhoa	gene-Rhoa	parent	chr6	63464110	63481728	+	17619		
Rhoa	Rhoa-l2	gene-Rhoa-l2	paralog_l	chr5	62899926	62901691	-	1766	l	2.0
Rhoa	Rhoa-l1	gene-Rhoa-l1	paralog_l	chr12	112429794	112431459	+	1666	l	1.0
Rhox13	Rhox13	gene-Rhox13	parent	chrX	51564575	51572676	-	8102		
Rhox13	Rhox13-dl1	gene-Rhox13-dl1	paralog_dl	chrX	50827500	50832056	+	4557	dl	1.0
Rida	Rida	gene-Rida	parent	chr11	26980315	26994569	+	14255		
Rida	Rida-l1	gene-Rida-l1	paralog_l	chr12	24806391	24806871	+	481	l	1.0
Rida	Rida-l2	gene-Rida-l2	paralog_l	chr17	9001582	9011541	+	9960	l	2.0
Ripply3	Ripply3	gene-Ripply3	parent	chr14	44913740	44922827	+	9088		
Ripply3	Ripply3-dl1	gene-Ripply3-dl1	paralog_dl	chr3	84584868	84585419	+	552	dl	1.0
Rnase1	Rnase1	gene-Rnase1	parent	chr8	58593344	58595055	+	1712		
Rnase1	Rnase1-l1	gene-Rnase1-l1	paralog_l	chr8	57784048	57784563	-	516	l	1.0
Rnase1	Rnase1-l2	gene-Rnase1-l2	paralog_l	chr8	58477634	58478116	-	483	l	2.0
Rnase6	Rnase6	gene-Rnase6	parent	chr8	58496964	58502016	+	5053		
Rnase6	Rnase6-l1	gene-Rnase6-l1	paralog_l	chr8	57734865	57736387	-	1523	l	1.0
Rnase6	Rnase6-l2	gene-Rnase6-l2	paralog_l	chr8	57898862	57940261	-	41400	l	2.0
Rnase6	Rnase6-l3	gene-Rnase6-l3	paralog_l	chr8	57993605	57994105	-	501	l	3.0
Rnase6	Rnase6-l4	gene-Rnase6-l4	paralog_l	chr8	58286107	58287355	-	1249	l	4.0
Rnase6	Rnase6-l5	gene-Rnase6-l5	paralog_l	chr8	58493348	58493644	-	297	l	5.0
Rnf138	Rnf138	gene-Rnf138	parent	chr10	23054375	23087145	+	32771		
Rnf138	Rnf138-l1	gene-Rnf138-l1	paralog_l	chr21	57540371	57541108	+	738	l	1.0
Rnf185	Rnf185	gene-Rnf185	parent	chr20	25362043	25399654	-	37612		
Rnf185	Rnf185-l1	gene-Rnf185-l1	paralog_l	chr13	80206097	80207215	-	1119	l	1.0
